question number,question text,answer,explination,,,,,,,,,,,,,,,,,,,,,,
Question: 93,"Cloud Kicks (CK) tracks the support level of its customers on the account record page. CK wants to show a text notification on a case record page when the related account is a platinum-level customer. How could an app builder meet this requirement?

A. Add a rich text area to the Case Lighting page > Set the component visibility of the rich text area to show when the account support level is platinum.  
B. Create a text-only Visualforce page > Drag the Visualforce component into the Case page layout > Set its visibility to show when the account support level is platinum.
C. Create a text-only Visualforce page > Clone the case page layout > Drag the Visualforce component into the page, and assign the layout to platinum cases.  
D. Clone the Case Lightning page > Add a rich text area to the new page, and assign this page to platinum accounts.
","Answer: A, D",,,,,,,,,,,,,,,,,,,,,,,
Question: 94,"
Universal Containers has a customer base where many customers have the same or similar company names.  
Which functionality should be configured to improve an end user`s search experience?  
Choose 2 answers

A. Update the account search layouts view filter settings.  
B. Update the account search layouts search results columns displayed. 
C. Update the account search filter fields.  
D. Update the account search layouts accounts tab columns displayed.
","Answer: B, C",,,,,,,,,,,,,,,,,,,,,,,
Question: 95,"Universal Containers uses a custom picklist field Account Region on the account record. They want this region to be reflected on all related contact records and stay in sync if the value of this field changes on the Account.  
How should an app builder meet this requirement?

A. Create a picklist field called 'Account Region' on Contact object > Create a workflow rule to update this picklist field if the Account Region field on the Account is changed.  
B. Create a formula field on the Contact object > Set the value of the formula to ISPICKVAL(Account.Account_Region__c).
C. Create a formula field on the Contact object > Set the value of the formula to TEXT(Account.Account_Region__c).  
D. Create a text field called 'Account Region' on Contact object > Create a workflow rule to update this picklist field if the Account Region field on the Account is changed.
",Answer: C,,,,,,,,,,,,,,,,,,,,,,,
Question: 96,"Universal Containers is piloting new features in an existing sandbox and wants to prevent outbound email sends during testing.  
What should the app builder do to meet the requirement?

A. Email deliverability set to system email only. 
B. Email configured for SMTP authentication. 
C. Email relay to the configured host enabled. 
D. Email deliverability set to no access.",Answer: D,,,,,,,,,,,,,,,,,,,,,,,
Question: 97,"Universal Containers wants to deliver purchased containers to remote construction address. In these cases the customers will supply UC with the coordinates to the location.  
What type of field should the app builder use to capture this information?

A. Number  
B. Goelocation 
C.Text  
D. External Lookup",Answer: B,,,,,,,,,,,,,,,,,,,,,,,
Question: 98,"An app builder has created a new report type but users are unable to select it from the Report Type list when making a new report for records they own.  
What could be causing this issue?

A. Access to the necessary object is unavailable.  
B. The report type is in a status of Deployed.  
C. Access to Create and Customize Reports is disabled. 
D. The report type is in a status of In Development.",Answer: D,,,,,,,,,,,,,,,,,,,,,,,
Question: 99,"The app builder at Ursa Major Solar has just created a master-detail relationship between a parent object Galaxy__c and child object  
Star__c.  
What would be the effect of creating this type of relationship if users want to report on Galaxy__c with Star__c?

A. A Star__c report type with Galaxy__c as a field will be automatically created.  
B. A new custom report type will need to be created for Star__c with lookup fields from Galaxy__c. 
C. A Galaxy__c with Star__c report type will be automatically created.  
D. A new custom report type will need to be created for Galaxy__c with Star__c.",Answer: D,,,,,,,,,,,,,,,,,,,,,,,
Question: 100,"SERVICE AGENTS ARE REQUIRED TO CONFIRM A USER IDENTITY BEFORE PROVIDING SUPPORT INFORMATION OVER THE PHONE. WHAT FEATURE CAN AN APP BUILDER USE TO HELP AGENTS MEET THIS REQUIREMENT?

A. Include Surveys as a Case related list  
B. Case Validation Rules  
C. Add Path to the top of the Case layout 
D. Guided Action Flows on the record page",Answer: D,,,,,,,,,,,,,,,,,,,,,,,
Question: 101,"universal containers is migrating its sales operations from a legacy system that was used. opportunities need to be imported with the proper country currency. Which two steps should an app builder configure to meet these requirements ?  
Choose 2 answers.

A. Include the currency ISO code in all currency fields in the import file. 
B. Use Data Loader to import the records.  
C. Include the currency ISO Code Column in the import file.  
D. Use import the currency ISO Code Column in the import file.
E. Use Import Wizard to import the records.","Answer: A, B ",,,,,,,,,,,,,,,,,,,,,,,
Question: 102,"An app builder wants to create a formula field on an Account to include data from related Contacts but is unable to find the relationship in the formula editor.  
What is a limitation of formulas that could be causing the issue?

A. Unable to reference the child records.  
B. A master-detail relationship should be created.  
C. Formula field limit reached on the Account object. 
D. More than 5,000 characters in the formula.",Answer: C,,,,,,,,,,,,,,,,,,,,,,,
Question: 103,"Universal Containers's app builder has been tasked with replacing workflow rules and Apex triggers with Process Builders where possible.  
What are two important considerations an app builder should know before the project is started? Choose 2 answers

A. Avoid generating infinite loops.  
B. Apex has a different SOQL query limit than Flow. 
C. Create a process for each workflow rule.  
D. Combine actions when possible.","Answer: A, D",,,,,,,,,,,,,,,,,,,,,,,
Question: 104,"Universal Containers wants to improve the process to create Opportunity records related to an Account. Many fields can be populated based on the Account record. Some fields require input from the user.  
What should an app builder configure to meet the requirement?

A. Process Builder triggered from Opportunity update 
B. Quick Action on the Account object  
C. Quick Action on the Opportunity object  
D. Process Builder triggered from Account update",Answer: B,,,,,,,,,,,,,,,,,,,,,,,
Question: 105,"The convert button on leads should NOT appear until the lead status picklist is set to a qualified. What should an app builder suggest to meet these requirements?

A. Picklist dependency, page layouts, record types  
B. Custom button, validation rule, record types  
C. Process builder field update, quick action, record type 
D. Page layout, record types, process builder field update
",Answer: D,,,,,,,,,,,,,,,,,,,,,,,
Question: 106,"
The CRM Manager at Universal Containers has requested that a custom text field be converted to a picklist in order to promote better data hygiene. What needs to be considered before changing the field type? Choose 2 answers

A. Existing list views that reference the field may be deleted. 
B. Field references will be removed in Visualforce pages  
C. All data should be backed up before converting a text field. 
D. Changing a field type will remove existing field history.","Answer: A, C",,,,,,,,,,,,,,,,,,,,,,,
Question: 107,"Cloud Kicks wants to set up a new opportunity approval process and execute various action items based on the initial submission.  
Which three action types should an app builder use in the approval process?

Choose 3 answers
A. Email Alert  
B. Outbound Message C.Task  
D. Invocable Flow  
E. Invocable Process Builder
","Answer: A, B, C",,,,,,,,,,,,,,,,,,,,,,,
Question: 108,"A user is unable to use inline editing on a list view. A quick check verifies the user should be able to perform inline editing as they have been assigned the appropriate permissions.  
Which two conditions should the app builder review?  
Choose 2 answers

A. If the list view restricts sharing for the user  
B. If the list view selected is the recently viewed list view 
C. If the list view contains a chart created by the user  
D. If the list view contains more than one record type","Answer: A, D",,,,,,,,,,,,,,,,,,,,,,,
Question: 109,"An app builder has downloaded a component from the AppExchange successfully; however, they are unable to add it to the Lightning home page.  
Which two reasons can be preventing the app builder from being able to add the custom component?

Choose 2 answers

A. My Domain must be deployed to add custom components to the page with the App Builder.  
B. A custom tab must be created to add custom components to the page with the App Builder.  
C. The component requires a developer permission to add it to the page with the App Builder.  
D. The component is tagged for record pages instead of home pages and is not showing up in the App Builder.","Answer: A, D",,,,,,,,,,,,,,,,,,,,,,,
Question: 110,"Cloud Kicks has created a custom object called Interests which is joined to Accounts by way of a
junction object called Account Interest.  What is the impact to users attempting to view an Account and the associated Account Interest records if they are without read access to the Interest object?

A. Users will be able to view the Account Interest records and will have read-only access to the Interest records.  
B. Users will be unable to view Account records that have a related Account Interest record.  
C. Users will be unable to view the Account Interest records or the Interest records.

D. Users will be able to view the Account Interest record, but unable to view the field or any information relating back to the Interest record.
",Answer: B,,,,,,,,,,,,,,,,,,,,,,,
Question: 111,"Cloud Kicks wants to make sure that users without the Marketing role are unable to update the Contact Retail Opt In picklist field to Yes.  
What validation rule would an app builder use to prevent other users from making this update?

A. AND( $UserRole.Name != 'Marketing', ISCHANGED(Retail_Opt_In__c), ISPICKVAL(Retail_0pt_In_c,""Yes"") )  
B. AND( $UserRole.Name != 'Marketing', Retail_Opt_In_c = ""Yes"" )  
C. AND( $UserRole.Name = 'Marketing', ISPICKVAL(Retail_Opt_In_c,""Yes"") ) 
D. AND( $UserRole.Name = 'Marketing', Retail_Opt_In__c = ""Yes"" )
",Answer: A,,,,,,,,,,,,,,,,,,,,,,,
Question: 112,"Universal Containers uses the Asset object to track products that are installed at customer locations. A new object, Asset Inventory, has been created to capture details about the asset.  
Which approach should the app builder take to show Asset Inventory as a related list on Asset?

A. Create a roll-up on Asset. Add the Asset Inventory related list to the Asset page layout.  
B. Create a junction object to relate Asset Inventory and Asset. Add the Asset Inventory related list to the Asset page layout.  
C. Create a lookup relationship on Asset Inventory to Asset. Add the Asset Inventory related list to the Asset page layout.  
D. Create a master-detail relationship on Asset to Asset Inventory Add the Asset Inventory related list to the Asset page layout.
",Answer: C,,,,,,,,,,,,,,,,,,,,,,,
Question: 113,"When an opportunity close date is delayed by more than 60 days, the manager and the VP sales must approve the change. How can this requirement be met? Choose 2 answers

A. Build an approval process that requires unanimous approval from the manager and VP of sales. 
B. Create a workflow rule that checks for close date less that 60 days and add an email alert.  
C. Create a lightning process builder flow that submits the record for an approval process  
D. Build a validation rule that does not allow a user to save the opportunity record.
","Answer: A, C",,,,,,,,,,,,,,,,,,,,,,,
Question: 114,"Ann app builder has been to display an overdue date that is two months after a tasks due date. Which approach should the app builder take?

A. Use process builder and set overdue date equal to DueDate + ((365/12)*2) 
B. Create a formula field using DueDate + 60  
C. Use process builder and set overdue Date equal to DueDate + 60  
D. Create a formula field using the ADDMONTHS () function",Answer: D,,,,,,,,,,,,,,,,,,,,,,,
Question: 115,"The services manager wants to make sure the team enters case priority consistently. What feature can an app builder use to accomplish this?

A. Path  
B. Flow  
C. Next Best Action 
D. In-App Guidance
",Answer: D,,,,,,,,,,,,,,,,,,,,,,,
Question: 116,"At Ursa Major Solar there is a requirement for a new field called Planet Details on the Planet object where users can write detailed descriptions that can include pictures and links.  
What field type should the app builder utilize to fulfill this requirement?

A. Long Text Area  
B. Rich Text Area  
C. Multi-Select Picklist 
D. URL
",Answer: A,,,,,,,,,,,,,,,,,,,,,,,
Question: 117,"Universal Containers has Public Read/Write as the Account organization-wide default (OWD) setting. Visitors to the customer community site report that they can see all of the company's account records.  
How should an app builder configure Account sharing so that community users only see their own Account?

A. Create an account record type for external accounts.  
B. Define an owner-based sharing rule for external accounts. 
C. Define a permission set for external accounts.  
D. Set the account external OWD to private.
",Answer: D,,,,,,,,,,,,,,,,,,,,,,,
Question: 118,"The marketing team at UVC has a list of 400 leads it wants to upload to Salesforce. The team need to avoid creating duplicate records. Which two actions should be taken to meet this requirement? Choose 2 answers

A. Utilize a Lead Matching Rule and corresponding Duplicate Rule to block newly created duplicate leads.  
B. Upload the lead list using the import wizard and select a Matching type to prevent duplicate lead creation.
C. Use Data Loader’s update function to import lead and match to existing records based on e-mail address.  
D. Enable Duplicate Matching in the Data Management section in Setup and activate the Lead- to_Lead scenario.
","Answer: A,B",,,,,,,,,,,,,,,,,,,,,,,
Question: 119,"Question: 119  
Due to the complexity of the Universal Containers sandbox release schedule and requirements, it is advised that change sets are used as often as possible to migrate from one environment to another. Which three common items can an app builder move when using a change set?  
Choose 3 answers

A. Web-to-lead 
B. Standard fields 
C. Custom object 
D. Apex class  
E. Custom field","Answer: C, D, E",,,,,,,,,,,,,,,,,,,,,,,
Question: 120,"Universal Containers created a 'New Task' custom action on the Opportunity object. The action was added to all page layouts in the Mobile & Lightning Actions section.  
Which Lightning component should the app builder add to the layout to display the action?

A. Related record 
B. Related lists  
C. Highlights panel 
D. Activities
",Answer: D,,,,,,,,,,,,,,,,,,,,,,,
Question: 121,"Ursa Major Solar wants to provide sales console users with an Incredible experience, with the most- used components easily accessible at all times.  
What solution can enable reps to see and access these components from anywhere within the app without leaving the pagere where the team is working?

A. Favorites  
B. Home page  
C. Global actions 
D. Utility bar
",Answer: D,,,,,,,,,,,,,,,,,,,,,,,
Question: 122,"Which three Salesforce functionalities are ignored when processing field updates in workflow rules and approval processes?

A. Multiple currencies  
B. Field-Level Security  
C. Validation Rules  
D. Record type picklist value assignments 
E. Decimal places and character limits
","Answer: A, D, E",,,,,,,,,,,,,,,,,,,,,,,
Question: 123,"An app Builder creates an Account validation rule on the Industry field that will throw an error if the length of the field is longer than 6 characters. Another App Builder creates a workflow rule with a field update that sets the Industry field to Technology whenever the Billing City field is set to San Francisco. What will happen the next time a sales person saves an Account with a Billing City of San Francisco?

A. The record will save and the Industry field will change to Technology  
B. The record will not save and the validation rule’s error message will be displayed 
C. The record will not save and no error message will be displayed  
D. The record will save but the Industry field will not change to Technology",Answer: A,,,,,,,,,,,,,,,,,,,,,,,
Question: 124,"At Universal Containers, the VP of Service has requested a visual indicator flag on each case, based on the case priority. High-priority cases should be flagged red, medium-priority should be flagged yellow, and low-priority cases should be flagged green. Which formula would accomplish this requirement? Choose 2 answers

A. CASE( Priority, “Low”, “img/samples/flag_green.gif”, “Medium”, “img/samples/flag_yellow.gif”, “High”, “img/samples/flag_red.gif”, “/s.gif”)  
B. IMAGE( IF(ISPICKVAL(Priority, “Low”), “img/samples/flag_green.gif”, IF(ISPICKVAL(Priority, “Medium”), “img/samples/flag_yellow.gif”, IF(ISPICKVAL(Priority, “High”), “img/samples/flag_red.gif”))), “Priority Flag”)

C. IF(ISPICKVAL(Priority, “Low”), “img/samples/flag_green.gif”, IF(ISPICKVAL(Priority, “Medium”), “img/samples/flag_yellow.gif”, IF(ISPICKVAL(Priority, “High”), “img/samples/flag_red.gif”, “/s.gif”))) 
D. IMAGE(CASE( Priority, “Low”, “img/samples/flag_green.gif”, “Medium”, “img/samples/flag_yellow.gif”, “High”, “img/samples/flag_red.gif”, “Priority Flag”)","Answer: B,D",,,,,,,,,,,,,,,,,,,,,,,
Question: 125,"Cloud Kicks has a sales rep who is stating that their Contact is unavailable for other users to see within Salesforce.  
In which three ways can an app builder troubleshoot this issue?  
Choose 3 answers

A. Create an Account Sharing Rule to give the users access to all records.  
B. Confirm whether Default Organization-Wide Sharing Settings provide access to the Account. C. Review the Contact record and ensure it is linked to an Account.  
D. Verify the users with the issue have access to the Contact object.  
E. Create a new Contact and have the users try again.
","Answer: B, C, D",,,,,,,,,,,,,,,,,,,,,,,
Question: 126,"Universal Containers has a Lightning record page that supports both the mobile app and desktop. An app builder has downloaded a custom Lightning component from AppExchange, but users are unable to view the component on mobile devices.  
What can be the issue?

A. The record page needs to be activated.  
B. The component has been developed for Desktop Pages.  
C. The component needs to be activated.  
D. The record page template is unable to support mobile devices.
`",Answer: B,,,,,,,,,,,,,,,,,,,,,,,
Question: 127,"A sales manager at Cloud Kicks wants the team to spend more time in the field and less time manually entering the information found on the business cards they collect.  
What should an app builder do to help achieve this goal without sacrificing data quality?

A. Research and evaluate data enrichment products on the AppExchange to automate data entry. 
B. Post daily to the Chatter feed any relevant fields that need to be populated.  
C. Use Flow to create a data entry wizard to automate data entry.  
D. Use a combination of workflow rules and formula fields to populate key fields for the sales user.
",Answer: A,,,,,,,,,,,,,,,,,,,,,,,
Question: 128,"Which two solutions prevent a formula field from being referenced by a Roll-Up Summary Field?

A. A cross-object workflow updating a field referenced by the formula field B. 
A cross-object field reference in the formula field  
C. The CASE() function in the formula field  
D. The NOW() function in the formula field
","Answer: A, B",,,,,,,,,,,,,,,,,,,,,,,
Question: 129,"Universal Containers uses a custom picklist called Account_Region__c on the Account object. The vice president of  
sales has asked that the value of this field is visible on Opportunities.  
How should an app builder create this solution?

A. Lookup field  
B. Field-level security  
C. Field history tacking  
D. Cross-object formula field
",Answer: C,,,,,,,,,,,,,,,,,,,,,,,
Question: 130,"An app builder needs a custom solution and is considering using community. Ease of updates is the primary consideration.  
What should the app builder consider?

A. A managed package from AppExchange  
B. An unmanaged package from AppExchange 
C. An open-source unmanaged package  
D. An open-source custom development",Answer: A,,,,,,,,,,,,,,,,,,,,,,,
Question: 131,"An app builder received a request to extend record access beyond the organization-wide defaults configured. Which two features satisfy this requirement?  
Choose 2 answers

A. Sharing Rules  
B. Public Groups  
C. Permission Set Groups 
D. Manual Sharing Rules","Answer: A, B",,,,,,,,,,,,,,,,,,,,,,,
Question: 132,"An app builder at Cloud Kicks created a custom object and related fields in the schema builder. What next steps should the app build take to ensure users can access the new object and fields?

A. Create a permission set for access to the object and fields. 
B. Allow reporting for the object and fields.  
C. Assign data types to the fields on the object.  
D. Add the fields to the page layout on the object.
",Answer: D,,,,,,,,,,,,,,,,,,,,,,,
Question: 133,"Universal Containers wants to track installation information once it container has been purchased on a custom object. Sales reps should have visibility of all the installation with their opportunities. visibility of all the installations associated with their opportunities.  
What kind of relationship should this new object have to the Opportunity?

A. Lookup  
B. Hierarchical  
C. Master-Detail 
D. Many to Many
",Answer: D,,,,,,,,,,,,,,,,,,,,,,,
Question: 134,"Universal Containers (UC) has created a picklist field called Status on three separate custom objects. UC has a requirement to share the list of values for this field across each object.  
Which feature would an app builder use?

A. Field Update  
B. Global Picklist Value Set 
C. Dynamic Action  
D. Dependent Picklist
",Answer: B,,,,,,,,,,,,,,,,,,,,,,,
Question: 135,"Universal Containers uses a private sharing model on Accounts. User A and user B both own Accounts of their own and have both been sent a new account record in an email owned by user C to take a look at. User A is able to open and view the record but user B receives an insufficient privileges error. User A and user B have the same role in the role hierarchy as user.  
What are the three reasons user A has access but user B is unable to access the record? Choose 3 answers

A. User A is on the same account team as user C.  
B. User A and user B have different profiles.  
C. User C has manually shared the record with user A.  
D. User A was granted an additional permission set.  
E. User A is in a public group that has access via a sharing rule.
","Answer: A, C, E",,,,,,,,,,,,,,,,,,,,,,,
Question: 136,"Which two places can an app builder go to see a list of available Custom Lightning components in their org?  
Choose 2 answers

A. Visualforce components in Setup 
B. Lightning component Generator 
C. Lightning App Builder  
D. Lightning components in Setup
","Answer: C, D",,,,,,,,,,,,,,,,,,,,,,,
Question: 137,"Universal Containers require different fields to be filled out at each stage of the Opportunity sates process.  
What configuration steps can an app builder use to meet this requirement?

A. Set page layout required fields based on the current stage.  
B. Create a Process Builder to prompt the User for field information. 
C. Define record types and page layouts for each stage.  
D. Add the Path component to the Lightning record page.",Answer: D,,,,,,,,,,,,,,,,,,,,,,,
Question: 138,"Sales manager at universal containers would like to standardize what information sales rep are gathering. Sales rep want recommendations, sales strategies and to know what key fields need to be completed at each step of the sales process on the opportunity record. What feature should an app builder use to provide this functionally?

A. Workflow  
B. Path  
C. Chatter feed 
D. Global Action
",Answer: B,,,,,,,,,,,,,,,,,,,,,,,
Question: 139,"Cloud Kicks (CK) wants to set up a custom child object to track gift cards issued to a customer. A key requirement is to track the total number of gift cards opened and gift cards issued on an Account. CK wants to permanently ensure the gift cards are unable to be moved across any other Account once it is created.

On the gift card object, what type of field should be created to support this requirement?

A. Master-detail relationship
B. Roll-up summary  
C. Formula  
D. Lookup relationship
",Answer: A,,,,,,,,,,,,,,,,,,,,,,,
Question: 140,"DreamHouse Realty (DR) has a policy that requires the phone number on Contact to be deleted when the DoNotCall checkbox is checked.  
What automation tool should the app builder recommend?

A. Quick action  
B. Approval process 
C. Validation rule 
D. Workflow rule",Answer: C,,,,,,,,,,,,,,,,,,,,,,,
Question: 141,"The VP of Sales wants a Chatter post to the All-Sales private group when an opportunity goes to the closed won stage.  
What two tools should the app builder use to automate this process? Choose 2 answers

A. Flow  
B. Process Builder 
C. Big Deal Alert 
D. Workflow
","Answer: A, B",,,,,,,,,,,,,,,,,,,,,,,
Question: 142,"The appraisal team at DreamHouse Realty wants to leverage Salesforce mobile app. What are three things an app builder should do to optimize mobile experience? Choose 3 answers

A. Use Global Actions to make it easy to perform vital functionality on mobile.  
B. Avoid using default field values so that the user is required to fill in all fields on the screen. C. Minimize the amount of formula fields and lookup fields to reduce page load time.  
D. Create individual customized layouts for different phone operating systems.  
E. Put the most important fields in the compact layout so they are easy to find.

An app builder wants to update a field on the parent record when a child record connected via lookup is deleted.  
What automation should the app builder use?

A. Screen flow  
B. Process Builder 
C. Apex code  
D. Workflow rule
",Answer: C,,,,,,,,,,,,,,,,,,,,,,,
Question: 143,"An app builder wants to update a field on the parent record when a child record connected via lookup is deleted.
What automation should the app builder use?
A. Screen flow
B. Process Builder C. Apex code
D. Workflow rule",Answer: C,,,,,,,,,,,,,,,,,,,,,,,
Question: 144,"Cloud Kicks has five years of sales data and would like to track when customers made their first purchase. How should an app builder use a roll-up summary to meet the requirements?
A. Create a new roll-up summary field called First Order Date, using Type MIN on the Opportunity Close Date with a filter where IsWon = TRUE.
B. Create a new date field called First Order Date, create a new Workflow to set the date, and roll up the value with a filter where IsWon = TRUE.
C. Create a new roll-up summary field called First Order Date, using Type SUM on Opportunity Close Date.
D. Create a new date field called First Order Date, then create a roll-up summary to update the field using Type MIN.",Answer: A,,,,,,,,,,,,,,,,,,,,,,,
Question: 145,"An app builder has created a custom Lightning App and wants to make it available to the internal users at Universal Containers.
Which two steps are necessary to accomplish this task7
Choose 2 answers
A. Add the app to a Visualforce page.
B. Upload the app to Static Resources.
C. Create a subdomain using My Domain. D. Build a Custom Tab for the app.","Answer: A, D",,,,,,,,,,,,,,,,,,,,,,,
Question: 146,"An App Builder wants to deploy a new version of an auto launched flow to production in an active state so that the new functionality Is immediately available to users
What should the App Builder rake Into consideration when planning the deployment?
A. Verify there is an Apex test that provides test coverage for the Flow. B. Grant user access to the Flow.
C. Manually activate the Flow after deployment
D. Include the Process Builder calling the Flow In the deployment",Answer: A,,,,,,,,,,,,,,,,,,,,,,,
Question: 147,"Cloud Kicks has leads owned by users and queues. The sales manager wants the status to change to working when a user takes ownership.
What does an app builder need to have in the criteria to ensure the process runs without error?
A. BEGINS([Lead].OwnerId, ,,005"")
B. [Lead].Owner:User.Role Is Null = False
C. [Lead].Owner:Queue.OwnerId Is Null = True D. NOT(ISBLANK([Lead].OwnerId))",Answer: D,,,,,,,,,,,,,,,,,,,,,,,
Question: 148,"A new field has been added to the Applicant object that is part of an unmanaged package. A recruiter ran the Position with or without Applicants report and noticed that the new field was missing as an option to add as a column.
How should an app builder troubleshoot this issue?
A. Adjust the field level security to include in the report type.
B. Check Allow Reports for the position and applicant objects.
C. Add the field to the custom report type field layout.
D. Update the profile with the Manage Public Reports permission.",Answer: C,,,,,,,,,,,,,,,,,,,,,,,
Question: 149,"An app builder has deployed a change set from a sandbox to production. There is a long delay in the deployment.
What can be causing the delay?
A. Profiles are included in the change set.
B. A field type change is included in the change set. C. Dependent fields are included in the change set. D. Roles are included in the change set.",Answer: B,,,,,,,,,,,,,,,,,,,,,,,
Question: 150,"Universal Containers implemented an application process that uses custom objects Internships and Applications. The organization-wide default for Internships has been set to private and is the master in the master-detail relationship with Applications. The VP of HR wants to allow edit access to Applications to recruiters.  
How should an app builder configure the proper access?

A. Set the organization-wide default on the Applications object to Read/Write.  
B. Add a sharing rule that grants the users Read/Write access to the Internship records.  
C. Create a queue for the web applications and assign access to the users who will be editing the records.  
D. Create a sharing rule that grants the users Read/Write access to the Application records.",Answer: B,,,,,,,,,,,,,,,,,,,,,,,
Question: 151,"Universal Containers needs the 18-digit record ID from Opportunity records when exporting data to Excel in order to ensure each record is treated uniquely.  
What formula should an app builder use to create this new field?

A. ISNUMBER(Id) 
B. CASESAFEID(Id) 
C. TEXT(Id)  
D. VALUE(Id)
",Answer: B,,,,,,,,,,,,,,,,,,,,,,,
Question: 152,"Universal Containers (UC) maintains information for over 2 million assets in an external system. UC needs to access these assets in real-time data in Salesforce and is nearing the data storage limits. What feature could an app builder recommend UC use?

A. Data Loader  
B. Salesforce Connect  
C. Salesforce to Salesforce 
D. Data Export Wizard",Answer: A,,,,,,,,,,,,,,,,,,,,,,,
Question: 153,"Universal Containers has deployed custom tabs to Production via changes sets, without including the profile settings or permission sets.

What is the settings for the visibility of custom tabs?

A. Custom tabs are default off for all users.
B. Custom tabs are default on for all uses. 
C. Custom tabs are hidden for all users.  
D. Custom tabs are NOT deployed.
",Answer: C,,,,,,,,,,,,,,,,,,,,,,,
Question: 154,"When a sales rep submits an account for approval, Universal Containers wants the user to answer additional questions via a popup window to populate additional record fields.  
What should an app builder use to achieve the desired result?

A. Process Builder and Flow  
B. Lightning component and Process Builder 
C. Custom picklist field and Process Builder 
D. Custom button and Flow
",Answer: D,,,,,,,,,,,,,,,,,,,,,,,
Question: 155,"Sales reps at Cloud Kicks (CK) forget to submit for approval when CK needs orders reviewed before close won. CK wants to automatically submit opportunities into the Secure Commitment Stage to eliminate manual submission.  
Which three features would meet the business requirements?

Choose 3 answers

A. Workflow  
B. Process Builder 
C. Apex  
D. Chatter action 
E. Flow
","Answer: B, C, E",,,,,,,,,,,,,,,,,,,,,,,
Question: 156,"Universal Containers uses Contracts for agreements with customers. A sales manager is required to provide approval for contracts and director approval for any contract over $10,000.  
Which two options should an app builder use to ensure all contracts route for the correct approval and also prevent the sales rep from making changes to the record while it is being approved? 
Choose 2 answers

A. Create an approval process on the Contract object with criteria set on a second approval step set as 'Amount__c > 10,000' and set the approver as director.  
B. Create an approval process on the Contract object and set the field for 'Next Automated Approver Determined By' as Manager'.
C. Create a validation rule on the Contract object that prevents updates to the contract record while it is being reviewed.  
D. Create an approval process on the Contract object with one step for each sales manager that sets the approver as the director.
","Answer: B, D",,,,,,,,,,,,,,,,,,,,,,,
Question: 157,"An App Builder at UVC would like to prevent users from creating new records on an Account related list by overriding standard buttons. Which two should the App Builder consider before overriding standard buttons?

A. Standard buttons can be changed on lookup dialogs, list views, and search result layouts 
B. Standard buttons can be overridden with a Visualforce page  
C. Standard buttons that are not available for overrides can still be hidden on page layouts
D. Standard buttons can be overridden, relocated on the detail page, and relabeled
","Answer: B, C",,,,,,,,,,,,,,,,,,,,,,,
Question: 158,"What option is available to an App Builder when defining an object-specific Create Record custom action? Choose 2 answers

A. Pre-Defining field values on the target object.  
B. Redirecting the end user to the detail page of the target object 
C. Specifying the fields and layout of the action.  
D. Allowing the end user to choose the record type","Answer: A, D",,,,,,,,,,,,,,,,,,,,,,,
Question: 159,"Cloud Kicks's management team frequently travels and wants to approve requests from their team on the go via Chatter.  
Where would an app builder enable this ability?

A. Chatter Feed Tracking  
B. Object Settings  
C. Chatter Settings  
D. Approval Process Settings
",Answer: C,,,,,,,,,,,,,,,,,,,,,,,
Question: 160,"Ursa Major Solar (UMS) has a custom object where they track Galactic Vendors. The object has four custom fields for the Galactic Vendors's location:
The UMS's leadership wants these fields to be concatenated into a single formula field on two lines. Which formula fulfills this requirement?
A)
B) C) D)
A. Option A
B. Option B
C. Option C
D. Option D
Answer: C",Answer: C ,Look up in PDF,,,,,,,,,,,,,,,,,,,,,,
Question: 161,"Universal Containers wants to create a report to show job applications with or without resumes. What considerations should the app builder be aware of when creating the custom report type?

A. An app builder is unable to create custom report types for objects they do not have permissions for.  
B. Once the report type has been deployed it is unable to be deleted.  
C. A primary object selection is locked once the custom report type has been saved.
D. When a custom or external object is deleted the report type and reports remain but cause an error when the report is run.
",Answer: C,,,,,,,,,,,,,,,,,,,,,,,
Question: 162,"Cloud Kicks (CK) switched to Lightning Experience and started using Chatter across its global workforce to support its fast-paced sales cycle. CK loves Chatter but struggle with gathering feedback from core team members, including understanding who is available to respond.  
Which two ways could CK use Chatter to solve this problem?  
Choose 2 answers

A. Streams  
B. Polls  
C. Out of Office 
D. Topics
","Answer: B, C",,,,,,,,,,,,,,,,,,,,,,,
Question: 163,"An app builder wants to limit the amount of fields users are required to fill out when creating a new Opportunity. Once they fill out the required fields and save, the full record page with additional fields relevant to the Opportunity type becomes available.
How could this be accomplished?
A. Make the Opportunity type a required field on the initial Opportunity page layout and use automation to fill in the type field to a record type.
B. Use different page layouts for Opportunity types based on the user profile.
C. Once the required fields are populated, use a sharing rule to share the new fields with the user. D. Hide additional sections on the page layout and show the users how to manually expand them when
they want to fill in the fields in the hidden sections.`",Answer: A,,,,,,,,,,,,,,,,,,,,,,,
Question: 164,"The Director of customer service wants to receive a notification when a case stays in the '' new'' status for more than four business hours.  
Which two automation processes should be used to accomplish this?  
Choose 2 answers

A. Escalation rules 
B. Flow Builder  
C. Process Builder 
D. Scheduled Apex
","Answer: A, C",,,,,,,,,,,,,,,,,,,,,,,
